setting,Accuracy,Precision,Recall,F-score,adjAccuracy,adjPrecision,adjRecall,adjF-score
24-12-05_15-05-07anomaly_detection_AE_UCRA_001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.981241,0.38009049773755654,0.5419355,0.44680852,0.9999549,0.99678457,1.0,0.9983897
24-12-05_15-07-10anomaly_detection_AE_UCRA_002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.98374367,0.06952965235173825,0.11333334,0.086185046,0.99925596,0.9009009,1.0,0.9478673
24-12-05_15-09-20anomaly_detection_AE_UCRA_003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.9846005,0.12815533980582525,0.22,0.1619632,0.99878246,0.84745765,1.0,0.9174312
24-12-05_15-11-41anomaly_detection_AE_UCRA_004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.8865327,0.045743329097839895,0.18,0.07294833,0.9640377,0.40816328,1.0,0.5797101
24-12-05_15-11-59anomaly_detection_AE_UCRA_005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.0002480159,0.000248015873015873,1.0,0.0004959088,0.0002480159,0.0002480159,1.0,0.0004959088
24-12-05_15-12-26anomaly_detection_AE_UCRA_001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.9813988,0.3670557717250324,0.45645162,0.4069015,0.999053,0.93655586,1.0,0.96723866
24-12-05_15-14-32anomaly_detection_AE_UCRA_002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.9813763,0.1062874251497006,0.23666666,0.14669421,0.99774534,0.75,1.0,0.85714287
24-12-05_15-16-35anomaly_detection_AE_UCRA_003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.9777011,0.07204968944099378,0.19333333,0.10497738,0.9975424,0.7334963,1.0,0.84626234
24-12-05_15-18-39anomaly_detection_AE_UCRA_004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.9114583,0.036101083032490974,0.1,0.0530504,0.9924355,0.7662835,1.0,0.86767894
24-12-05_15-18-58anomaly_detection_AE_UCRA_005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.0002480159,0.000248015873015873,1.0,0.0004959088,0.0002480159,0.0002480159,1.0,0.0004959088
24-12-05_15-19-24anomaly_detection_AE_UCRA_001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.9780168,0.284325637910085,0.37741935,0.3243243,0.9988952,0.9267564,1.0,0.96198606
24-12-05_15-21-29anomaly_detection_AE_UCRA_002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.9836084,0.08382066276803118,0.14333333,0.105781056,0.9940927,0.5338078,1.0,0.6960557
24-12-05_15-23-31anomaly_detection_AE_UCRA_003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.9703283,0.01893939393939394,0.06666667,0.029498525,0.99310064,0.4950495,1.0,0.66225165
24-12-05_15-25-39anomaly_detection_AE_UCRA_004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.23511904,0.026499523960647413,0.835,0.05136881,0.9730903,0.4796163,1.0,0.6482982
24-12-05_15-26-04anomaly_detection_AE_UCRA_005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.8062996,0.0012787723785166241,1.0,0.0025542784,0.8062996,0.0012787724,1.0,0.0025542784
24-12-05_15-30-47anomaly_detection_AE_UCRA_001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.980993,0.23515439429928742,0.15967742,0.19020173,0.99993235,0.9951846,1.0,0.9975865
24-12-05_15-34-15anomaly_detection_AE_UCRA_002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt_Timer_UCRA_ftM_sl768_ll48_pl0_pl96_dm1024_nh8_el8_dl1_df2048_fc1_ebtimeF_dtTrue_test,0.006764069,0.006764069264069264,1.0,0.013437248,0.006764069,0.006764069,1.0,0.013437248
